theta,mu,sigma,sigma_eq,half_life,r_squared,n_obs,adf_pval,beta_pval,team,season
0.15269397196978524,0.02819839960406684,0.2862458531780525,0.5179803202203107,4.539453467731548,0.08534228552281045,36,0.01932155925454771,0.08858786876783373,Arsenal,2015
0.33258021805937343,-0.37326563770966376,0.21649086145902213,0.2654461091214542,2.0841503580835408,0.16267959243054475,38,0.007500150822334898,0.013310414988539555,Arsenal,2016
0.21684666505195707,-0.05750907176384173,0.29892933520369086,0.45391774899073983,3.196485315528672,0.10355654187697699,38,0.672849918811386,0.052103713865286,Arsenal,2017
0.15399987564833437,-0.19121898298972978,0.28626850262479614,0.5158202450657634,4.500959352348946,0.07219939444293516,38,0.850390057292524,0.10782038666577255,Arsenal,2018
0.34177192101636805,-0.13541368808517892,0.20213229998327095,0.2444851752496372,2.028098676154116,0.1908217258343331,38,0.7305475645649887,0.006866641823720288,Arsenal,2019
0.16800662297800062,-0.09610350804832324,0.2502811798777595,0.4317675453714431,4.12571342887303,0.058294103289771124,38,0.8959173324612015,0.14997394123054564,Arsenal,2020
0.45382300034879813,0.04557166147051393,0.2634221728349915,0.27649932696327884,1.5273513683246729,0.2627306820388716,38,0.3607352142742263,0.001180486934858678,Arsenal,2021
0.2639644232706064,-0.3100661365028612,0.21522689897112532,0.2962162310819218,2.625911370826503,0.14036687621032884,38,0.14440259240302855,0.022333550238385354,Arsenal,2022
0.14888853812709807,-0.1650901334666226,0.3836809901190055,0.7031122288121899,4.655477105754394,0.07463056189284889,38,0.0005189145406505814,0.10184391758651666,Arsenal,2023
0.32451675964529075,0.14711820269355572,0.2598906406245333,0.3225945874195952,2.1359364654003747,0.16008616060499614,38,0.25704771303319096,0.014139602199212654,Arsenal,2024
0.34726608068871617,-0.008404198115527005,0.2054997367524386,0.24658411128125596,1.9960117590098627,0.16485130424811767,36,0.3408399762030062,0.01551722885023675,Aston Villa,2015
0.2737848120429189,0.14762110833325703,0.1550763020901555,0.20956838295555522,2.531722542926474,0.17296294183758668,38,0.5963261103888879,0.010465227261433443,Aston Villa,2019
0.14934025465697398,0.029053825392923827,0.2781063221297506,0.508870670130731,4.641395464016481,0.06955008174837622,38,0.3522391399888366,0.11475534310522198,Aston Villa,2020
0.21622374068553302,-0.22671035061746292,0.21508671088509512,0.327074655275081,3.2056941497836275,0.10651912294867287,38,0.021481118063202867,0.04867045674350233,Aston Villa,2021
0.1653533155335338,0.018279816892885017,0.25771234298593,0.4481400597962803,4.1919158277741,0.06990655454028989,38,0.5214516348541696,0.11379543969839026,Aston Villa,2022
0.32477094548185154,-0.27010685487173547,0.2841735200034479,0.3525981458225024,2.134264749365269,0.1886634766740249,38,0.18333704795068728,0.007227373922157824,Aston Villa,2023
0.25305991701147496,0.25097150069247737,0.26339395814952515,0.37023641347009606,2.7390634943127505,0.13001980846754796,38,0.4448068407085357,0.028350287425683827,Aston Villa,2024
0.2689604711157816,-0.19992662306975686,0.22086602742213893,0.3011408650604798,2.5771340215327054,0.1384736846409133,36,0.01925571319615754,0.02771655010375462,Bournemouth,2015
0.3141474974093237,-0.12877282039813406,0.23977288188734652,0.3024950436597163,2.206438651512788,0.1560183390948614,38,0.0025855160013615523,0.015542942229044197,Bournemouth,2016
0.21747157293446773,-0.11018349070960338,0.23570115431598826,0.35739252412555844,3.1873001662098446,0.09600171546820382,38,0.46046900245509853,0.0620097583443409,Bournemouth,2017
0.7040619430460029,0.05964808796179398,0.1709275096805013,0.14404279256975883,0.9844974400422258,0.37159456877750885,38,0.14665759397168038,6.207386236241779e-05,Bournemouth,2018
0.2879869829511067,0.09261433688775336,0.2289651310828903,0.3016948676677902,2.4068698295215136,0.1498016830958929,38,0.004224695524652826,0.017954954801631992,Bournemouth,2019
0.22446339834814838,0.11289113236604292,0.22151477381079232,0.3306091978217887,3.088018740074747,0.13627574728127617,38,0.4611451838390658,0.02454459453706072,Bournemouth,2022
0.2101614031424352,0.256899741822612,0.21956789571100602,0.3386704947544788,3.2981659343517533,0.10422310629321176,38,0.27874708346186394,0.05131054470458944,Bournemouth,2023
0.2982864759107872,0.37163531764029817,0.30283979021548324,0.3920858390864003,2.323763350126724,0.14693546215783074,38,0.14239049231498846,0.01918723855125574,Bournemouth,2024
0.380018816813605,0.1480456279712055,0.21859723738888187,0.2507420201521214,1.8239812080145659,0.18953549997797822,36,0.009044389095588955,0.008951653059233046,Brentford,2021
0.27910810882750164,0.042425821257108295,0.2925498692904441,0.39156032791432405,2.483436197793644,0.14117789448950332,38,0.06903148886255976,0.0219191631205694,Brentford,2022
0.2887635362349015,0.20614287593686387,0.22061635004402594,0.29030299845560137,2.400397188639803,0.14200148815963884,38,0.13983068781689495,0.02150610398882261,Brentford,2023
0.31030605522319843,0.0038004015886215956,0.26323314546715815,0.33414152496867444,2.233753318353311,0.15497268308376483,38,0.10752753397034648,0.015925163533821278,Brentford,2024
0.21078150785061622,0.03515301071157299,0.2285377449863439,0.35198705074469266,3.288462956869956,0.11235046514529955,36,0.49338348706817653,0.04902947639368747,Brighton,2017
0.37241221879626174,0.045202987406606485,0.19956158753606182,0.231233094637199,1.8612364084089044,0.1853374894451748,38,0.8227458101311664,0.007819528147326588,Brighton,2018
0.4166807742913962,0.26657747989743064,0.21037358929240751,0.2304488194480231,1.663496910167515,0.23236035168009128,38,0.01701930386078535,0.0025188229264557975,Brighton,2019
0.2192370711207328,0.35250970106048596,0.31611442959491687,0.4773889110289691,3.161633098894267,0.09603736196544208,38,0.4919707398871296,0.0619587896282456,Brighton,2020
0.20084752599558442,0.2377811157471352,0.226756838247229,0.35777678053480994,3.451111369801906,0.11483062740485905,38,0.00895602668370673,0.04020428534651275,Brighton,2021
0.2182192102541358,0.1500429902284918,0.35262207683762903,0.5337624416674231,3.1763802084734585,0.11233234811105364,38,0.046446750132682055,0.04258075318832894,Brighton,2022
0.11505480433790806,0.35873828040349254,0.29980733200453424,0.6249925963007306,6.024495757032619,0.03645291628279647,38,0.8359983261424228,0.2576551740711798,Brighton,2023
0.24742438325070396,-0.06279608701273712,0.23705556885648388,0.33698759650701926,2.8014505743260174,0.09694101837292955,38,0.19953891403604812,0.06068083525687605,Brighton,2024
0.4579404018405171,-0.09802450639997536,0.19627344348919754,0.20508885652240283,1.5136187542616988,0.22973215672396588,36,0.7197013954263962,0.0035771481852794,Burnley,2016
0.3071175290159341,-0.03363470407192474,0.22528645427394547,0.2874536182166286,2.2569443782024665,0.15737042392465414,38,0.32055582561056284,0.015062004254926858,Burnley,2017
0.2457515670581964,-0.06926962865033226,0.2651081660121267,0.3781463907359928,2.820519880533666,0.14712943300541811,38,0.12623570522875466,0.019101285944352998,Burnley,2018
0.5182252820539762,0.20238435431749077,0.21154484808436255,0.20779168123767136,1.3375402639806946,0.2953453768319096,38,0.002613868938679028,0.0005088361027962323,Burnley,2019
0.35239999579748793,0.14375026684718187,0.22508684701156714,0.2681125681120209,1.96693299893872,0.15568271452308385,38,0.5703895059640245,0.015664634334542092,Burnley,2020
0.2332276816385674,0.1516323909800821,0.22223459898376788,0.32539181794591016,2.971976463900689,0.12803629349014953,38,0.37637909989203044,0.02967475782845847,Burnley,2021
0.7631794132972491,0.06902251618147766,0.1885932279101914,0.15265033882817497,0.908236213507469,0.4043123716435168,38,0.1581612535498665,2.3461901918829492e-05,Burnley,2023
0.5397021462347095,0.14753545606944485,0.1792378417391912,0.17251927937359451,1.284314293348214,0.4200520136150254,36,3.66462913623558e-05,2.557922245734346e-05,Cardiff,2018
0.1409308595962457,-0.10079892518435957,0.25625468643699084,0.4826738475612862,4.918349200066968,0.07262224405375804,36,0.32760070034948807,0.11746191672344325,Chelsea,2015
0.23502828660644007,-0.6081397243247775,0.2813369345022818,0.4103473998770085,2.9492074786752593,0.11439630514298506,38,0.22813374863137936,0.04060768134831983,Chelsea,2016
0.28787402603081574,-0.07459625308270744,0.3430281073604988,0.45207809943295757,2.40781424471323,0.14614962872403767,38,0.08097345419195118,0.019539364302789713,Chelsea,2017
0.4005673147173243,0.029081921757661614,0.2618668972879601,0.29256869205236796,1.7304137284618222,0.1972672790196474,38,0.3045613421619894,0.00589013637585133,Chelsea,2018
0.24456609308754398,0.19907849384861429,0.27124010845793617,0.38782945382923817,2.8341916567797845,0.12422469805789679,38,0.19619270630220814,0.03239462425649865,Chelsea,2019
0.11789652501065838,0.3450083535164501,0.25879987165534113,0.532964836599732,5.879284232485068,0.05500574799897837,38,0.5691073894570338,0.16234726910457944,Chelsea,2020
0.2366711668580286,-0.1361231500782418,0.29590154381306577,0.4300902102274672,2.9287352141874634,0.12269337660076918,38,0.036054647465440494,0.03355583644179099,Chelsea,2021
0.14291018272468536,0.34491397224810494,0.2630645418061689,0.4920573562012662,4.850229475217203,0.07194218673567042,38,0.6511668093871019,0.10847388204165394,Chelsea,2022
0.2010360043379932,0.05369374912670366,0.3160448579277451,0.49842154713446757,3.44787583120975,0.09622364151280323,38,0.31790377642890066,0.06169313223623621,Chelsea,2023
0.33420267566710976,0.2339177254144678,0.27546742125467666,0.33693822552270913,2.0740324091551274,0.17562131464284197,38,0.00801791817375389,0.009832055988179286,Chelsea,2024
0.28419306527286065,0.15226649936017148,0.247203687156966,0.32789380250869743,2.439001035772769,0.16613492220734635,36,1.408277682000359e-07,0.015082617690053935,Crystal Palace,2015
0.1896703898067592,-0.1541869471193792,0.2562771865726575,0.41609757181402746,3.6544828176192414,0.10145426468799876,38,0.044989644431313605,0.05468734109240533,Crystal Palace,2016
0.08814780939172583,0.12120506727484942,0.22179072021934462,0.5282294511791001,7.863464620880403,0.02508526807187354,38,0.7714129109426566,0.3491344489200885,Crystal Palace,2017
0.3036917699873793,0.03562740787274998,0.3008179416522768,0.3859865984004908,2.282403571847702,0.14046785504084522,38,0.35465085166822585,0.022281537661002677,Crystal Palace,2018
0.3506954852440786,0.0629870714342636,0.2161042985893396,0.25803779396757937,1.9764930252168076,0.19455994641578403,38,0.22078876112315127,0.006282704806142721,Crystal Palace,2019
0.7905226980613067,-0.15896469480919628,0.20578833465280583,0.16366227457568172,0.8768213515688201,0.4437435695470459,38,0.004728341946705582,6.789875353816074e-06,Crystal Palace,2020
0.46858684719920496,-0.022773771583167356,0.23527440331660035,0.24303265745934358,1.4792288445630988,0.23463307615025858,38,0.0001514843265266598,0.0023818039422525343,Crystal Palace,2021
0.22028399999279236,-0.0725468294939343,0.19849133641712824,0.2990439916044701,3.1466070190418955,0.10519512548894845,38,0.2742330284891191,0.0501756820183403,Crystal Palace,2022
0.08524839393914026,-0.3787632072630099,0.2523060097646902,0.6110397939154638,8.130911897938986,0.019494675434903828,38,0.8088709643250986,0.4098292701628191,Crystal Palace,2023
0.43153738761701066,0.4412711943525214,0.27798243131237266,0.29922173523223833,1.6062274103005723,0.31313974769661235,38,0.025509318798672385,0.00031715339712223503,Crystal Palace,2024
0.27442903392065565,-0.05114722437613956,0.323000654878962,0.4359868360813137,2.5257793268344617,0.15179847619454884,36,0.7858026140267873,0.02069300125205892,Everton,2015
0.13840439203227656,-0.2737375333379823,0.2618805820052961,0.49775240102273327,5.0081299471934395,0.05575533357812172,38,0.3364040078116495,0.15943163991532758,Everton,2016
0.14023289652773605,-0.05178808141259095,0.21616466621676783,0.4081734540423298,4.942828663764003,0.07345304659702666,38,0.007186844850958282,0.1046939197684584,Everton,2017
0.27222068452593584,0.035840860404479924,0.27981520269401544,0.37922394153952077,2.5462693320569683,0.1444956397358304,38,0.2750340341492422,0.020301391376455584,Everton,2018
0.23384072326804398,0.2592292609195157,0.1757339092396825,0.25696886096278587,2.9641850695330487,0.1217630495126538,38,0.1357543536055501,0.0342814366995318,Everton,2019
0.12046986603257148,0.13501044561504716,0.21369111608657992,0.4353436917744755,5.753697612418186,0.04515759485884459,38,0.8742447220672169,0.20668924866055327,Everton,2020
0.32327950368867286,0.04692899096721988,0.1715782379085022,0.21338216645350505,2.1441111256699568,0.16788214627273568,38,0.0001670430430192714,0.011787710844590554,Everton,2021
0.3269145866763486,0.36917481275790937,0.21005391592440525,0.25977576653421014,2.120269969006227,0.17332192063128737,38,0.6193476359280201,0.010377463082358004,Everton,2022
0.17427787340829334,0.497700896013309,0.28463431696260816,0.48211554619492025,3.977252918022814,0.08303912215921651,38,0.05697578401395677,0.08370528142086722,Everton,2023
0.2542676328632428,0.10589993162293117,0.2515212522487841,0.35270705669098235,2.726053539550403,0.12040014563605513,38,0.4318877312027013,0.035372720785383616,Everton,2024
0.28351579520505293,0.2656465345955124,0.1823772768668907,0.2421960742310876,2.444827386278871,0.1678793201233371,36,0.4525975783285209,0.014510979916908091,Fulham,2018
0.4514883899374259,0.36564921466922,0.15506424361246643,0.16318242162985455,1.5352491802857038,0.2276194428626177,38,0.019322309535190114,0.0028294645772505055,Fulham,2020
0.16458436301067997,-0.251891821931319,0.1959535991241632,0.3415418774148188,4.211500824747042,0.08191280324335898,38,0.012306640681279457,0.08592625061430781,Fulham,2022
0.28636731022056616,0.010107704137105213,0.35954400047099283,0.4750893864183083,2.4204829106578845,0.14840997285110885,38,0.0003149753068119006,0.018543268013689326,Fulham,2023
0.21041925119461585,0.08243209960372423,0.25587532751581404,0.3944306709478488,3.294124357085828,0.10197749464185744,38,1.6237243220225817e-05,0.05403244881624688,Fulham,2024
0.3627118606109478,0.13412608449079633,0.16218125441506206,0.19041658793824212,1.9110132748138313,0.17777094453853068,36,0.03952275824352235,0.011647342955799708,Huddersfield,2017
0.2869461232168271,0.19069728663228228,0.14891019518702284,0.1965663865925306,2.4156004367278996,0.15410824846333623,38,0.7129945677853015,0.016248081381720125,Huddersfield,2018
0.3090902539624031,-0.05929456468927363,0.2193960729320684,0.2790430409698587,2.242539749067138,0.14466077230264823,36,0.04085996910392035,0.02420373477144618,Hull,2016
0.37065549997951575,0.12380690184060128,0.19180105090349,0.2227669507149777,1.870057723676708,0.19021921180395576,36,0.5747720132618674,0.008815177520722983,Ipswich,2024
0.324679419171327,0.09572316467660648,0.33723434453261797,0.4184941769702512,2.134866393222741,0.23285114413804203,36,0.03991706993169271,0.0033269981245974147,Leeds,2020
0.24656939577113585,0.3111211594265839,0.24127977135817444,0.34358668821649707,2.8111646962193158,0.16809909228862632,38,0.14189082378172185,0.011728052982600259,Leeds,2021
0.22745941412817416,0.005656986158022425,0.28389024511536415,0.42090444662973375,3.0473444382009816,0.11309155441195956,38,0.12252828262068816,0.04184405538242415,Leeds,2022
0.17941599979374415,0.11658604526054017,0.21747176752136207,0.3630423599296911,3.863352105479914,0.10404574963457305,36,0.1492695372771785,0.05877680215266657,Leicester,2015
0.13735366199372168,-0.22070782729941563,0.22646561374031496,0.43208296996903867,5.046441212405596,0.08207473972286286,38,0.03961863051518176,0.0856032154293782,Leicester,2016
0.2814900285054133,-0.058825343623299116,0.2865849598547924,0.38195032973593923,2.4624217924885228,0.1409486592098411,38,0.14276190832967472,0.022035515882397196,Leicester,2017
0.14973881619925325,0.0412562508789436,0.274766754018501,0.5020904808781086,4.62904140792454,0.07411993416242134,38,0.03146893269220091,0.10306969777946162,Leicester,2018
0.09740491877403062,-0.06192067447114957,0.3290144884504489,0.7454346579836023,7.116141456551854,0.04009993201289518,38,0.6984173969600104,0.23469678043317743,Leicester,2019
0.3395349289656969,-0.23490325536892023,0.23051418840026963,0.27973089507416954,2.041460602216786,0.22097746084015463,38,0.00014329979490794605,0.0033273342201388667,Leicester,2020
0.2473038484036439,-0.33349216263783804,0.20910293505829955,0.2973238129368895,2.8028159894568474,0.10173751307844744,38,0.015753131167931436,0.05433182753054763,Leicester,2021
0.16328717556361952,0.13733241886927006,0.3010708440136172,0.5268386930977109,4.244957867434501,0.10466578975574337,38,0.8625865428065735,0.05079052262891652,Leicester,2022
0.13752561182963036,0.10780912800621742,0.176433703374504,0.33641454115121183,5.04013158958806,0.0596749760302751,38,0.1325675785815561,0.14508740474981618,Leicester,2024
